SITE_NAME,NORMAL_PRICE,ART_SV_NAME_ENG,SALE_QTY,END_QTY,PERIOD
Store_A,25.0,SKU_RICE,3,4,20250801
Store_A,25.0,SKU_RICE,4,3,20250802
Store_A,25.0,SKU_RICE,4,6,20250803
Store_A,25.0,SKU_RICE,5,6,20250804
Store_A,25.0,SKU_RICE,2,6,20250805
Store_A,25.0,SKU_RICE,3,4,20250806
Store_A,25.0,SKU_RICE,4,4,20250807
Store_A,25.0,SKU_RICE,6,6,20250808
Store_A,35.0,SKU_COOKIE,3,5,20250801
Store_A,35.0,SKU_COOKIE,5,6,20250802
Store_A,35.0,SKU_COOKIE,5,7,20250803
Store_A,35.0,SKU_COOKIE,2,6,20250804
Store_A,35.0,SKU_COOKIE,4,4,20250805
Store_A,35.0,SKU_COOKIE,4,5,20250806
Store_A,35.0,SKU_COOKIE,5,5,20250807
Store_A,35.0,SKU_COOKIE,3,7,20250808
Store_B,25.0,SKU_RICE,3,4,20250801
Store_B,25.0,SKU_RICE,5,5,20250802
Store_B,25.0,SKU_RICE,5,8,20250803
Store_B,25.0,SKU_RICE,2,3,20250804
Store_B,25.0,SKU_RICE,3,3,20250805
Store_B,25.0,SKU_RICE,4,4,20250806
Store_B,25.0,SKU_RICE,5,5,20250807
Store_B,25.0,SKU_RICE,2,7,20250808
Store_B,35.0,SKU_COOKIE,5,6,20250801
Store_B,35.0,SKU_COOKIE,6,6,20250802
Store_B,35.0,SKU_COOKIE,3,3,20250803
Store_B,35.0,SKU_COOKIE,4,5,20250804
Store_B,35.0,SKU_COOKIE,4,4,20250805
Store_B,35.0,SKU_COOKIE,5,7,20250806
Store_B,35.0,SKU_COOKIE,3,6,20250807
Store_B,35.0,SKU_COOKIE,4,3,20250808
Store_C,25.0,SKU_RICE,5,7,20250801
Store_C,25.0,SKU_RICE,5,4,20250802
Store_C,25.0,SKU_RICE,3,5,20250803
Store_C,25.0,SKU_RICE,4,6,20250804
Store_C,25.0,SKU_RICE,5,6,20250805
Store_C,25.0,SKU_RICE,5,6,20250806
Store_C,25.0,SKU_RICE,2,2,20250807
Store_C,25.0,SKU_RICE,4,4,20250808
Store_C,35.0,SKU_COOKIE,6,2,20250801
Store_C,35.0,SKU_COOKIE,3,3,20250802
Store_C,35.0,SKU_COOKIE,4,6,20250803
Store_C,35.0,SKU_COOKIE,4,6,20250804
Store_C,35.0,SKU_COOKIE,6,6,20250805
Store_C,35.0,SKU_COOKIE,2,4,20250806
Store_C,35.0,SKU_COOKIE,4,3,20250807
Store_C,35.0,SKU_COOKIE,5,5,20250808
